"Document - Numéro du document";"Document - Code client";"Document - Code postal (facturation)";"Document - Ville (facturation)";"Document - Département (facturation)";"Document - Code Pays (facturation)";"Document - Date";"Document - Total Brut HT";"Document - Total TTC";"Ligne - Code article";"Ligne - Description commerciale en clair";"Ligne - Quantité";"Ligne - Montant Net HT";"Ligne - Montant Net TTC"
"FA00005703";"SFERIS";"75009";"PARIS 9EME ARRONDISSEMENT";"PARIS";"FR";"29/01/2021";"895,00000000";"1074,00000000";"";"V/REF COMMANDE N° BDC2004931";"";"";""
"FA00005703";"SFERIS";"75009";"PARIS 9EME ARRONDISSEMENT";"PARIS";"FR";"29/01/2021";"895,00000000";"1074,00000000";"AR00004";"Fourniture de matériel de stockage neuf ";"1,00000000";"895,00000000";"1074,00000000"
"FA00005678";"ZIEGLER59";"59223";"RONCQ";"NORD";"FR";"28/01/2021";"7320,00000000";"8784,00000000";"";"Transféré de : Commande N° CM00005095 du 26/11/2020.";"";"";""
"FA00005678";"ZIEGLER59";"59223";"RONCQ";"NORD";"FR";"28/01/2021";"7320,00000000";"8784,00000000";"";"Suivant devis N° ML201112BIS";"";"";""
"FA00005678";"ZIEGLER59";"59223";"RONCQ";"NORD";"FR";"28/01/2021";"7320,00000000";"8784,00000000";"AR00011";"Modification de niveaux de stockage site de ST ETIENNE DU ROUVRAY";"1,00000000";"7980,00000000";"9576,00000000"
"FA00005678";"ZIEGLER59";"59223";"RONCQ";"NORD";"FR";"28/01/2021";"7320,00000000";"8784,00000000";"AR00020";"- value 30 lisses de 2700 mm";"1,00000000";"-660,00000000";"-792,00000000"
"FA00005679";"BURGERHOUT";"77200";"TORCY";"SEINE-ET-MARNE";"FR";"28/01/2021";"6200,00000000";"7440,00000000";"";"Transféré de : Commande N° CM00005099 du 01/12/2020.";"";"";""
"FA00005679";"BURGERHOUT";"77200";"TORCY";"SEINE-ET-MARNE";"FR";"28/01/2021";"6200,00000000";"7440,00000000";"";"Suivant devis N° HL201113";"";"";""
"FA00005679";"BURGERHOUT";"77200";"TORCY";"SEINE-ET-MARNE";"FR";"28/01/2021";"6200,00000000";"7440,00000000";"AR00007";"Fourniture et mise en place d'une cabine bureau site de POINCY
";"1,00000000";"6350,00000000";"7620,00000000"
"FA00005679";"BURGERHOUT";"77200";"TORCY";"SEINE-ET-MARNE";"FR";"28/01/2021";"6200,00000000";"7440,00000000";"AR00020";"-value extracteur d'air";"1,00000000";"-150,00000000";"-180,00000000"
"FA00005680";"PROSEAT";"77470";"TRILPORT";"SEINE-ET-MARNE";"FR";"28/01/2021";"450,00000000";"540,00000000";"";"Transféré de : Commande N° CM00005232 du 27/01/2021.";"";"";""
"FA00005680";"PROSEAT";"77470";"TRILPORT";"SEINE-ET-MARNE";"FR";"28/01/2021";"450,00000000";"540,00000000";"";"V/REF COMMANDE N° 21-180540-0004454";"";"";""
"FA00005680";"PROSEAT";"77470";"TRILPORT";"SEINE-ET-MARNE";"FR";"28/01/2021";"450,00000000";"540,00000000";"AR00002";"Location d'une nacelle ciseaux";"1,00000000";"450,00000000";"540,00000000"
"FA00005681";"NUMATIC";"77500";"CHELLES";"SEINE-ET-MARNE";"FR";"28/01/2021";"1810,00000000";"2172,00000000";"";"Transféré de : Bon de livraison N° BL00002278 du 25/01/2021.";"";"";""
"FA00005681";"NUMATIC";"77500";"CHELLES";"SEINE-ET-MARNE";"FR";"28/01/2021";"1810,00000000";"2172,00000000";"";"Transféré de : Commande N° CM00005181 du 11/01/2021.";"";"";""
"FA00005681";"NUMATIC";"77500";"CHELLES";"SEINE-ET-MARNE";"FR";"28/01/2021";"1810,00000000";"2172,00000000";"";"Suivant devis N° LL210104276D";"";"";""
"FA00005681";"NUMATIC";"77500";"CHELLES";"SEINE-ET-MARNE";"FR";"28/01/2021";"1810,00000000";"2172,00000000";"AR00002";"Fourniture et mise en place de matériel de stockage d'occasion
1 Echelle de 9000 mm
2 lisses de 2700 mm";"1,00000000";"1810,00000000";"2172,00000000"
"FA00005683";"LANVIN";"75008";"PARIS 8EME ARRONDISSEMENT";"PARIS";"FR";"28/01/2021";"1000,00000000";"1200,00000000";"";"Transféré de : Commande N° CM00005175 du 11/01/2021.";"";"";""
"FA00005683";"LANVIN";"75008";"PARIS 8EME ARRONDISSEMENT";"PARIS";"FR";"28/01/2021";"1000,00000000";"1200,00000000";"AR00004";"Fourniture de matériel de stockage neuf site de PANTIN";"1,00000000";"1000,00000000";"1200,00000000"
"FA00005683";"LANVIN";"75008";"PARIS 8EME ARRONDISSEMENT";"PARIS";"FR";"28/01/2021";"1000,00000000";"1200,00000000";"";"";"";"";""
"FA00005683";"LANVIN";"75008";"PARIS 8EME ARRONDISSEMENT";"PARIS";"FR";"28/01/2021";"1000,00000000";"1200,00000000";"";"SUIVANT COMMANDE 6100066582";"";"";""
